Age,Gender,Education Level,Job Title,Years of Experience,Salary
27,Male,Bachelor's,Automation Testing Engineer,2,40000
36,Female,Bachelor's,Mechanical Engineer,8,85000
43,Male,Bachelor's,Web Developer,14,130000
33,Female,Master's,Java Developer,6,95000
34,Male,Bachelor's,Java Developer,9,100000
50,Female,PhD,Web Developer,22,180000
28,Male,Bachelor's,Civil Engineer,1.5,35000
39,Female,Bachelor's,Java Developer,12,95000
47,Male,Master's,Blockchain Developer,19,170000
30,Female,Bachelor's,Automation Testing Engineer,3,45000
34,Male,Bachelor's,SAP Developer,7,95000
40,Female,Master's,Business Analyst,13,120000
28,Male,Bachelor's,HR,2,40000
41,Female,Bachelor's,Business Analyst,11,90000
45,Male,PhD,ETL Developer,17,155000
32,Female,Bachelor's,Advocate,5,55000
35,Male,Master's, Network Security Engineer,9,110000
49,Female,Master's,Data Scientist,21,180000
30,Male,Bachelor's,PMO,3,45000
44,Male,Bachelor's,.NET Developer,16,130000
27,Female,Master's,HR,1.5,45000
36,Male,Bachelor's,Database Engineer,7,90000
41,Female,PhD,Web Developer,17,160000
31,Male,Bachelor's,Sales,4,50000
39,Female,Bachelor's,Java Developer,10,120000
47,Male,Master's,Data Scientist,20,170000
30,Female,Bachelor's,Testing,2,40000
38,Male,Master's,Python Developer,9,110000
45,Female,PhD,.NET Developer,15,150000
28,Male,Bachelor's,Civil Engineer,2,40000
35,Female,Bachelor's,DevOps Engineer,8,85000
44,Male,Bachelor's,Blockchain Developer,14,130000
34,Female,Master's,DevOps Engineer,6,100000
35,Male,Bachelor's,Electrical Engineering,9,95000
50,Female,PhD,ETL Developer,22,180000
29,Male,Bachelor's,HR,1.5,35000
40,Female,Bachelor's,Business Analyst,12,100000
48,Male,Master's,DevOps Engineer,19,170000
31,Female,Bachelor's,Operations Manager,3,45000
33,Male,Bachelor's,ETL Developer,7,100000
42,Female,Master's,.NET Developer,13,140000
28,Male,Bachelor's,Sales,2,40000
40,Female,Bachelor's,SAP Developer,11,105000
46,Male,PhD,Data Scientist,18,160000
33,Female,Bachelor's,Operations Manager,5,70000
37,Male,Master's,ETL Developer,9,120000
51,Female,Master's,Blockchain Developer,21,190000
30,Male,Bachelor's,Operations Manager,3,45000
43,Male,Bachelor's,Web Developer,15,120000
27,Female,Master's,Arts,1.5,50000
35,Male,Bachelor's,Database Engineer,8,85000
42,Female,PhD,SAP Developer,13,140000
32,Male,Bachelor's,Testing,3,45000
37,Female,Bachelor's,Java Developer,9,100000
45,Male,Master's, Network Security Engineer,16,140000
33,Female,Bachelor's,Civil Engineer,5,70000
39,Male,Bachelor's,Mechanical Engineer,10,120000
44,Female,PhD,Database Engineer,18,160000
29,Male,Bachelor's,HR,1.5,40000
38,Female,Bachelor's,SAP Developer,10,120000
46,Male,PhD,ETL Developer,19,150000
34,Female,Bachelor's,Arts,6,70000
36,Male,Bachelor's,Java Developer,8,95000
49,Female,Master's,DevOps Engineer,21,180000
31,Male,Bachelor's,Sales,3,50000
41,Female,Bachelor's,Electrical Engineering,11,95000
47,Male,Master's,ETL Developer,20,170000
30,Female,Bachelor's,Testing,2,40000
38,Male,Master's,Python Developer,9,110000
45,Female,PhD,.NET Developer,15,150000
28,Male,Bachelor's,Civil Engineer,2,40000
35,Female,Bachelor's,DevOps Engineer,8,85000
44,Male,Bachelor's,Blockchain Developer,14,130000
34,Female,Master's,DevOps Engineer,6,100000
35,Male,Bachelor's,Electrical Engineering,9,95000
50,Female,PhD,ETL Developer,22,180000
29,Male,Bachelor's,HR,1.5,350
,,,,,
37,Female,Bachelor's,Java Developer,10,120000
46,Male,PhD,Data Scientist,18,160000
31,Female,Bachelor's,Testing,3,50000
42,Male,Bachelor's,Java Developer,12,110000
29,Female,Bachelor's,Testing,1.5,40000
36,Male,Bachelor's,Mechanical Engineer,8,95000
44,Female,Master's,Database Engineer,15,140000
33,Male,Bachelor's,Operations Manager,4,60000
39,Female,Bachelor's,Business Analyst,9,110000
45,Male,PhD,Blockchain Developer,16,150000
32,Female,Bachelor's,Testing,4,60000
37,Male,Bachelor's,Java Developer,8,90000
47,Female,Master's,DevOps Engineer,20,180000
30,Male,Bachelor's,HR,2,40000
38,Female,Bachelor's,Web Developer,9,120000
46,Male,PhD,ETL Developer,17,160000
34,Female,Bachelor's,Sales,5,70000
36,Male,Bachelor's,SAP Developer,8,95000
49,Female,Master's,ETL Developer,21,180000
31,Male,Bachelor's,Civil Engineer,3,50000
41,Female,Bachelor's,Electrical Engineering,11,95000
47,Male,Master's,DevOps Engineer,19,170000
29,Female,Bachelor's,Civil Engineer,1.5,35000
35,Male,Bachelor's,Java Developer,9,100000
44,Female,PhD,.NET Developer,15,150000
33,Male,Bachelor's,HR,4,60000
35,Female,Bachelor's,DevOps Engineer,8,85000
44,Male,Bachelor's,Blockchain Developer,13,130000
32,Male,Bachelor's,Automation Testing Engineer,4,65000
38,Female,Bachelor's,Business Analyst,10,110000
49,Male,PhD,ETL Developer,21,180000
29,Female,Bachelor's,Operations Manager,2,40000
35,Male,Bachelor's,Business Analyst,7,90000
45,Female,Master's,Database Engineer,14,140000
33,Male,Bachelor's,Sales,4,60000
40,Female,Bachelor's,SAP Developer,12,130000
44,Male,PhD,Data Scientist,16,160000
30,Female,Bachelor's,Electrical Engineer,2,40000
37,Male,Bachelor's,DevOps Engineer,9,100000
48,Female,Master's,Electrical Engineering,20,180000
31,Male,Bachelor's,HR,3,55000
38,Female,Bachelor's,Mechanical Engineer,9,120000
45,Male,PhD,Blockchain Developer,16,150000
33,Female,Bachelor's,Testing,5,70000
36,Male,Bachelor's,Business Analyst,8,95000
49,Female,Master's,DevOps Engineer,21,180000
31,Male,Bachelor's,Civil Engineer,3,50000
42,Female,Bachelor's,Web Developer,12,120000
47,Male,Master's,DevOps Engineer,19,170000
29,Female,Bachelor's,Civil Engineer,1.5,35000
35,Male,Bachelor's,Java Developer,9,100000
44,Female,PhD,.NET Developer,15,150000
33,Male,Bachelor's,HR,4,60000
35,Female,Bachelor's,DevOps Engineer,8,85000
44,Male,Bachelor's,Blockchain Developer,13,130000
34,Female,Master's,DevOps Engineer,6,80000
36,Male,Bachelor's,Mechanical Engineer,8,95000
30,Female,Bachelor's,Electrical Engineer,2,40000
37,Male,Bachelor's,Business Analyst,10,120000
45,Female,Master's,SAP Developer,16,160000
32,Male,Bachelor's,Database Engineer,4,65000
39,Female,Bachelor's,Web Developer,12,130000
47,Male,PhD,Python Developer,20,180000
29,Female,Bachelor's,Arts,2,40000
36,Male,Bachelor's,Java Developer,9,100000
43,Female,PhD,Data Scientist,15,150000
32,Male,Bachelor's,Testing,3,55000
38,Female,Bachelor's,Business Analyst,10,110000
48,Male,Master's,DevOps Engineer,21,180000
31,Female,Bachelor's,Civil Engineer,3,50000
40,Male,Bachelor's,Java Developer,12,130000
45,Female,PhD,DevOps Engineer,16,160000
33,Male,Bachelor's,Automation Testing Engineer,4,60000
36,Female,Bachelor's,SAP Developer,8,95000
47,Male,Master's,ETL Developer,19,170000
29,Female,Bachelor's,HR,2,40000
34,Male,Bachelor's,Mechanical Engineer,7,90000
44,Female,PhD,Business Analyst,15,150000
33,Male,Bachelor's,Operations Manager,5,70000
35,Female,Bachelor's,Java Developer,8,90000
43,Male,Master's,DevOps Engineer,18,170000
31,Female,Bachelor's,Sales,3,50000
41,Male,Bachelor's,SAP Developer,14,150000
44,Female,PhD,Blockchain Developer,16,160000
33,Male,Bachelor's,HR,4,60000
35,Female,Bachelor's,DevOps Engineer,8,85000
45,Male,Master's,Python Developer,19,180000
28,Female,Bachelor's,Operations Manager,1,35000
36,Male,Bachelor's,Business Analyst,8,110000
44,Female,PhD,Data Scientist,16,160000
31,Male,Bachelor's,Testing,3,55000
38,Female,Bachelor's,Business Analyst,10,110000
48,Male,Master's,DevOps Engineer,21,180000
31,Female,Bachelor's,Civil Engineer,3,50000
40,Male,Bachelor's,Java Developer,12,130000
45,Female,PhD,DevOps Engineer,16,160000
33,Male,Bachelor's,Automation Testing Engineer,4,60000
36,Female,Bachelor's,SAP Developer,8,95000
47,Male,Master's,ETL Developer,19,170000
29,Female,Bachelor's,HR,2,40000
34,Male,Bachelor's,Mechanical Engineer,7,90000
44,Female,PhD,Business Analyst,15,150000
33,Male,Bachelor's,Operations Manager,5,70000
35,Female,Bachelor's,Java Developer,8,90000
43,Male,Master's,DevOps Engineer,18,170000
31,Female,Bachelor's,Sales,3,50000
41,Male,Bachelor's,SAP Developer,14,150000
44,Female,PhD,Blockchain Developer,16,160000
33,Male,Bachelor's,HR,4,60000
35,Female,Bachelor's,DevOps Engineer,8,85000
43,Male,Master's,ETL Developer,19,170000
29,Female,Bachelor's,HR,2,40000
34,Male,Bachelor's,Mechanical Engineer,7,90000
44,Female,PhD,Business Analyst,15,150000
